Index,Police force,Lookup name,Force population (000),Date,Age,Age Range Given,Used,additional,additional,additional,Victim under 18,Gender of victim,outcome,further info on outcome,Photo or Video,Ex Partner?,compare row
14,Cambridgeshire Police,Cambridgeshire,789.7,September,11,,facebook,,,,y,nn,nn,,photo,y,n
13,Cambridgeshire Police,Cambridgeshire,789.7,August,17,,nn,,,,n,f,nn,,photo,n,n
12,Cambridgeshire Police,Cambridgeshire,789.7,August,18,,facebook,,,,n,f,nn,,video,y,n
11,Cambridgeshire Police,Cambridgeshire,789.7,August,20,,facebook,,,,n,f,nn,,photo,n,n
10,Cambridgeshire Police,Cambridgeshire,789.7,August,21,,snapshot,,,,n,f,nn,,photo,y,n
9,Cambridgeshire Police,Cambridgeshire,789.7,August,22,,facebook,,,,n,f,nn,,photo,y,n
8,Cambridgeshire Police,Cambridgeshire,789.7,July,23,,nn,,,,n,m,nn,,photo,n,n
7,Cambridgeshire Police,Cambridgeshire,789.7,July,24,,nn,,,,n,f,nn,,photo,y,n
5,Cambridgeshire Police,Cambridgeshire,789.7,June,26,,nn,,,,n,f,nn,,photo,nn,n
6,Cambridgeshire Police,Cambridgeshire,789.7,July,27,,nn,,,,n,m,nn,,photo,y,n
4,Cambridgeshire Police,Cambridgeshire,789.7,June,30,,instagram,,,,n,nn,nn,,photo,nn,n
3,Cambridgeshire Police,Cambridgeshire,789.7,June,43,,twitter,,,,n,nn,nn,,photo,nn,n
2,Cambridgeshire Police,Cambridgeshire,789.7,May,63,,nn,,,,n,nn,nn,,video,Y,n
1,Cambridgeshire Police,Cambridgeshire,789.7,April,64,,nn,,,,n,f,nn,,photo,Y,n
15,Cambridgeshire Police,Cambridgeshire,789.7,October,,,,,,,n,f,nn,,photo,y,n
16,Cambridgeshire Police,Cambridgeshire,789.7,October,,,,,,,nn,f,nn,,photo,y,n
17,Cambridgeshire Police,Cambridgeshire,789.7,November,,,,,,,nn,f,nn,,photo,n,n
18,Cambridgeshire Police,Cambridgeshire,789.7,December,,,,,,,nn,f,nn,,photo,y,n
19,Cambridgeshire Police,Cambridgeshire,789.7,December,,,,,,,nn,f,nn,,photo,n,n
21,Cheshire police,Cheshire,1009.3,June,12,,facebook,,,,,nn,caution,,nn,,y
45,Cheshire police,Cheshire,1009.3,June,12,,,,,,,nn,no action,,nn,,y
29,Cheshire police,Cheshire,1009.3,July,15,,snapchat,,,,,nn,no action,,nn,,y
38,Cheshire police,Cheshire,1009.3,May,15,,facebook,,,,,nn,no action,,nn,,y
42,Cheshire police,Cheshire,1009.3,June,15,,,,,,,nn,ongoing,,nn,,y
20,Cheshire police,Cheshire,1009.3,May,16,,,,,,,nn,no action,,nn,,y
25,Cheshire police,Cheshire,1009.3,April,16,,,,,,,nn,no action,,nn,,y
28,Cheshire police,Cheshire,1009.3,May,17,,,,,,,nn,no action,,nn,,y
24,Cheshire police,Cheshire,1009.3,April,19,,facebook,,,,,nn,no action,,nn,,y
47,Cheshire police,Cheshire,1009.3,july,19,,,,,,,nn,no action,,nn,,y
